CLUSTER NUMBER,CLUSTER ID,PROTEIN CLASS,GENE ID,MAPPED IDS,GENE NAME/GENE SYMBOL/ORTHOLOG,PANTHER FAMILY/SUBFAMILY,PANTHER PROTEIN CLASS,SPECIES
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=1927558|UniProtKB=P56135,P56135,"ATP synthase subunit f, mitochondrial;Atp5mf;ortholog","ATP SYNTHASE SUBUNIT F, MITOCHONDRIAL (PTHR13080:SF16)",ATP synthase(PC00002),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=106008|UniProtKB=P48036,P48036,Annexin A5;Anxa5;ortholog,ANNEXIN A5 (PTHR10502:SF26),calcium-binding protein(PC00060),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=88244|UniProtKB=P27005,P27005,Protein S100-A8;S100a8;ortholog,PROTEIN S100-A8 (PTHR11639:SF5),calmodulin-related(PC00061),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=1338947|UniProtKB=P31725,P31725,Protein S100-A9;S100a9;ortholog,PROTEIN S100-A9 (PTHR11639:SF79),calmodulin-related(PC00061),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=96819|UniProtKB=P10107,P10107,Annexin A1;Anxa1;ortholog,ANNEXIN A1 (PTHR10502:SF17),calcium-binding protein(PC00060),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=1201378|UniProtKB=O35639,O35639,Annexin A3;Anxa3;ortholog,ANNEXIN A3 (PTHR10502:SF25),calcium-binding protein(PC00060),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",calcium-binding protein (PC00060),MOUSE|MGI=MGI=88246|UniProtKB=P07356,P07356,Annexin A2;Anxa2;ortholog,ANNEXIN A2-RELATED (PTHR10502:SF18),calcium-binding protein(PC00060),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",chaperone (PC00072) ,MOUSE|MGI=MGI=97464|UniProtKB=P09103,P09103,Protein disulfide-isomerase;P4hb;ortholog,PROTEIN DISULFIDE-ISOMERASE (PTHR18929:SF101),chaperone(PC00072),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",chaperone (PC00072) ,MOUSE|MGI=MGI=96247|UniProtKB=P11499,P11499,Heat shock protein HSP 90-beta;Hsp90ab1;ortholog,HEAT SHOCK PROTEIN HSP 90-BETA (PTHR11528:SF79),Hsp90 family chaperone(PC00028),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",chaperone (PC00072) ,MOUSE|MGI=MGI=97749|UniProtKB=P17742,P17742,Peptidyl-prolyl cis-trans isomerase A;Ppia;ortholog,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A (PTHR11071:SF490),chaperone(PC00072),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",chaperone (PC00072) ,MOUSE|MGI=MGI=95834|UniProtKB=P27773,P27773,Protein disulfide-isomerase A3;Pdia3;ortholog,PROTEIN DISULFIDE-ISOMERASE A3 (PTHR18929:SF132),chaperone(PC00072),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",chaperone (PC00072) ,MOUSE|MGI=MGI=98817|UniProtKB=P08113,P08113,Endoplasmin;Hsp90b1;ortholog,ENDOPLASMIN (PTHR11528:SF97),Hsp90 family chaperone(PC00028),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1931526|UniProtKB=P15864,P15864,Histone H1.2;H1-2;ortholog,HISTONE H1.2 (PTHR11467:SF86),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=107502|UniProtKB=P43277,P43277,Histone H1.3;H1-3;ortholog,HISTONE H1.3 (PTHR11467:SF137),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=2448316|UniProtKB=Q64523,Q64523,Histone H2A type 2-C;H2ac20;ortholog,HISTONE H2A TYPE 2-C (PTHR23430:SF130),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1924855|UniProtKB=Q3THW5,Q3THW5,Histone H2A.V;H2az2;ortholog,HISTONE H2A.V (PTHR23430:SF280),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=102688|UniProtKB=P27661,P27661,Histone H2AX;H2ax;ortholog,HISTONE H2AX (PTHR23430:SF199),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=2140113|UniProtKB=P62806,P62806,Histone H4;H4f16;ortholog,HISTONE H4 (PTHR10484:SF162),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1913976|UniProtKB=Q6KCD5,Q6KCD5,Nipped-B-like protein;Nipbl;ortholog,NIPPED-B-LIKE PROTEIN (PTHR21704:SF18),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1931523|UniProtKB=P43275,P43275,Histone H1.1;H1-1;ortholog,HISTONE H1.1 (PTHR11467:SF153),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1931527|UniProtKB=P43274,P43274,Histone H1.4;H1-4;ortholog,HISTONE H1.4 (PTHR11467:SF20),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=2448377|UniProtKB=Q64475,Q64475,Histone H2B type 1-B;H2bc3;ortholog,HISTONE H2B TYPE 1-N (PTHR23428:SF314),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=1861461|UniProtKB=P43276,P43276,Histone H1.5;H1-5;ortholog,HISTONE H1.5 (PTHR11467:SF24),histone(PC00118),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=97167|UniProtKB=P26041,P26041,Moesin;Msn;ortholog,MOESIN (PTHR23281:SF26),actin or actin-binding cytoskeletal protein(PC00041),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=99705|UniProtKB=D3Z2H9,D3Z2H9,"Tropomyosin 3, related sequence 7;Tpm3-rs7;ortholog","TROPOMYOSIN 3, RELATED SEQUENCE 7 (PTHR19269:SF73)",actin binding motor protein(PC00040),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=107812|UniProtKB=P99024,P99024,Tubulin beta-5 chain;Tubb5;ortholog,TUBULIN BETA CHAIN (PTHR11588:SF61),tubulin(PC00228),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=107804|UniProtKB=P05213,P05213,Tubulin alpha-1B chain;Tuba1b;ortholog,TUBULIN ALPHA-1B CHAIN (PTHR11588:SF251),tubulin(PC00228),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=104568|UniProtKB=P49710,P49710,Hematopoietic lineage cell-specific protein;Hcls1;ortholog,HEMATOPOIETIC LINEAGE CELL-SPECIFIC PROTEIN (PTHR10829:SF5),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=95851|UniProtKB=P13020,P13020,Gelsolin;Gsn;ortholog,GELSOLIN (PTHR11977:SF29),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=87905|UniProtKB=P68033,P68033,"Actin, alpha cardiac muscle 1;Actc1;ortholog","ACTIN, ALPHA CARDIAC MUSCLE 1 (PTHR11937:SF176)",actin and actin related protein(PC00039),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=87906|UniProtKB=P63260,P63260,"Actin, cytoplasmic 2;Actg1;ortholog","ACTIN, CYTOPLASMIC 2 (PTHR11937:SF414)",actin and actin related protein(PC00039),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=96832|UniProtKB=P19973,P19973,Lymphocyte-specific protein 1;Lsp1;ortholog,LYMPHOCYTE-SPECIFIC PROTEIN 1 (PTHR18949:SF1),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=1919292|UniProtKB=Q9CQI6,Q9CQI6,Coactosin-like protein;Cotl1;ortholog,COACTOSIN-LIKE PROTEIN (PTHR10829:SF29),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=2449202|UniProtKB=Q6IRU2,Q6IRU2,Tropomyosin alpha-4 chain;Tpm4;ortholog,TROPOMYOSIN ALPHA-4 CHAIN (PTHR19269:SF70),actin binding motor protein(PC00040),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=104808|UniProtKB=Q61233,Q61233,Plastin-2;Lcp1;ortholog,PLASTIN-2 (PTHR19961:SF35),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=97549|UniProtKB=P62962,P62962,Profilin-1;Pfn1;ortholog,PROFILIN-1 (PTHR13936:SF14),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=101757|UniProtKB=P18760,P18760,Cofilin-1;Cfl1;ortholog,COFILIN-1 (PTHR11913:SF17),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=88262|UniProtKB=P40124,P40124,Adenylyl cyclase-associated protein 1;Cap1;ortholog,ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1 (PTHR10652:SF1),actin or actin-binding cytoskeletal protein(PC00041),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=1345961|UniProtKB=O89053,O89053,Coronin-1A;Coro1a;ortholog,CORONIN-1A (PTHR10856:SF18),non-motor actin binding protein(PC00165),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",defense/immunity protein (PC00090) ,MOUSE|MGI=MGI=105983|UniProtKB=O08692,O08692,Neutrophilic granule protein;Ngp;ortholog,NEUTROPHILIC GRANULE PROTEIN (PTHR10206:SF0),antimicrobial response protein(PC00051),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",gene-specific transcriptional regulator (PC00264) ,MOUSE|MGI=MGI=1342770|UniProtKB=Q3UZ39,Q3UZ39,Leucine-rich repeat flightless-interacting protein 1;Lrrfip1;ortholog,LEUCINE-RICH REPEAT FLIGHTLESS-INTERACTING PROTEIN 1 (PTHR19212:SF5),DNA-binding transcription factor(PC00218),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97552|UniProtKB=Q9DBJ1,Q9DBJ1,Phosphoglycerate mutase 1;Pgam1;ortholog,PHOSPHOGLYCERATE MUTASE 1 (PTHR11931:SF15),mutase(PC00160),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97553|UniProtKB=Q9DCD0,Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating;Pgd;ortholog","6-PHOSPHOGLUCONATE DEHYDROGENASE, DECARBOXYLATING (PTHR11811:SF25)",dehydrogenase(PC00092),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=3708786|UniProtKB=A0A1D5RLD8,A0A1D5RLD8,Glyceraldehyde-3-phosphate dehydrogenase;Gm10358;ortholog,GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE (PTHR10836:SF111),dehydrogenase(PC00092),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1330860|UniProtKB=O35744,O35744,Chitinase-like protein 3;Chil3;ortholog,CHITINASE-LIKE PROTEIN 3-RELATED (PTHR11177:SF140),glycosidase(PC00110),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1921395|UniProtKB=Q8BH61,Q8BH61,Coagulation factor XIII A chain;F13a1;ortholog,COAGULATION FACTOR XIII A CHAIN (PTHR11590:SF42),transferase(PC00220),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87994|UniProtKB=P05064,P05064,Fructose-bisphosphate aldolase A;Aldoa;ortholog,FRUCTOSE-BISPHOSPHATE ALDOLASE A (PTHR11627:SF1),aldolase(PC00044),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97829|UniProtKB=Q9ET01,Q9ET01,"Glycogen phosphorylase, liver form;Pygl;ortholog","GLYCOGEN PHOSPHORYLASE, LIVER FORM (PTHR11468:SF26)",glycosyltransferase(PC00111),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95393|UniProtKB=P17182,P17182,Alpha-enolase;Eno1;ortholog,ALPHA-ENOLASE (PTHR11902:SF12),lyase(PC00144),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88070|UniProtKB=Q61176,Q61176,Arginase-1;Arg1;ortholog,ARGINASE-1 (PTHR43782:SF2),hydrolase(PC00121),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97591|UniProtKB=P52480,P52480,Pyruvate kinase PKM;Pkm;ortholog,PYRUVATE KINASE PKM (PTHR11817:SF15),kinase(PC00137),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97137|UniProtKB=P11247,P11247,Myeloperoxidase;Mpo;ortholog,MYELOPEROXIDASE (PTHR11475:SF108),peroxidase(PC00180),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=105979|UniProtKB=Q00612,Q00612,Glucose-6-phosphate 1-dehydrogenase X;G6pdx;ortholog,GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE (PTHR23429:SF0),dehydrogenase(PC00092),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95797|UniProtKB=P06745,P06745,Glucose-6-phosphate isomerase;Gpi;ortholog,GLUCOSE-6-PHOSPHATE ISOMERASE (PTHR11469:SF1),isomerase(PC00135),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=105992|UniProtKB=P40142,P40142,Transketolase;Tkt;ortholog,TRANSKETOLASE (PTHR43195:SF3),transketolase(PC00221),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",nucleic acid metabolism protein (PC00171) ,MOUSE|MGI=MGI=99894|UniProtKB=P61979,P61979,Heterogeneous nuclear ribonucleoprotein K;Hnrnpk;ortholog,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K (PTHR10288:SF307),RNA metabolism protein(PC00031),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein modifying enzyme (PC00260)  ,MOUSE|MGI=MGI=96055|UniProtKB=P29351,P29351,Tyrosine-protein phosphatase non-receptor type 6;Ptpn6;ortholog,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 6 (PTHR46257:SF4),protein phosphatase(PC00195),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=2178103|UniProtKB=Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1;Arhgdia;ortholog,RHO GDP-DISSOCIATION INHIBITOR 1 (PTHR10980:SF9),G-protein modulator(PC00022),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=102772|UniProtKB=Q9Z0E6,Q9Z0E6,Guanylate-binding protein 2;Gbp2;ortholog,GUANYLATE-BINDING PROTEIN 2 (PTHR10751:SF112),heterotrimeric G-protein(PC00117),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=1352757|UniProtKB=Q9JKF1,Q9JKF1,Ras GTPase-activating-like protein IQGAP1;Iqgap1;ortholog,RAS GTPASE-ACTIVATING-LIKE PROTEIN IQGAP1 (PTHR14149:SF15),GTPase-activating protein(PC00257),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=101940|UniProtKB=Q61599,Q61599,Rho GDP-dissociation inhibitor 2;Arhgdib;ortholog,RHO GDP-DISSOCIATION INHIBITOR 2 (PTHR10980:SF15),G-protein modulator(PC00022),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=88283|UniProtKB=P19324,P19324,Serpin H1;Serpinh1;ortholog,SERPIN H1 (PTHR11461:SF27),protease inhibitor(PC00191),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",scaffold/adaptor protein (PC00226) ,MOUSE|MGI=MGI=109484|UniProtKB=P63101,P63101,14-3-3 protein zeta/delta;Ywhaz;ortholog,14-3-3 PROTEIN ZETA/DELTA (PTHR18860:SF7),scaffold/adaptor protein(PC00226),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=95588|UniProtKB=P09528,P09528,Ferritin heavy chain;Fth1;ortholog,FERRITIN HEAVY CHAIN (PTHR11431:SF37),storage protein(PC00210),Mus musculus
Cluster 4,"Interface 10DPI, SAC 10DPI",translational protein (PC00263)  ,MOUSE|MGI=MGI=1096881|UniProtKB=P10126,P10126,Elongation factor 1-alpha 1;Eef1a1;ortholog,ELONGATION FACTOR 1-ALPHA 1-RELATED (PTHR23115:SF222),translation factor(PC00223),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",chaperone (PC00072)  ,MOUSE|MGI=MGI=97464|UniProtKB=P09103,P09103,Protein disulfide-isomerase;P4hb;ortholog,PROTEIN DISULFIDE-ISOMERASE (PTHR18929:SF101),chaperone(PC00072),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",chaperone (PC00072)  ,MOUSE|MGI=MGI=104680|UniProtKB=Q64433,Q64433,"10 kDa heat shock protein, mitochondrial;Hspe1;ortholog","10 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL (PTHR10772:SF0)",chaperonin(PC00073),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=2140113|UniProtKB=P62806,P62806,Histone H4;H4f16;ortholog,HISTONE H4 (PTHR10484:SF162),histone(PC00118),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI","chromatin/chromatin-binding, or -regulatory protein (PC00077) ",MOUSE|MGI=MGI=95893|UniProtKB=P10922,P10922,Histone H1.0;H1-0;ortholog,HISTONE H1.0 (PTHR11467:SF102),histone(PC00118),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",cytoskeletal protein (PC00085) ,MOUSE|MGI=MGI=98930|UniProtKB=Q62468,Q62468,Villin-1;Vil1;ortholog,VILLIN-1 (PTHR11977:SF35),non-motor actin binding protein(PC00165),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",intercellular signal molecule (PC00207),MOUSE|MGI=MGI=99501|UniProtKB=Q8K0E8,Q8K0E8,Fibrinogen beta chain;Fgb;ortholog,FIBRINOGEN BETA CHAIN (PTHR19143:SF332),intercellular signal molecule(PC00207),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2385084|UniProtKB=Q8VC30,Q8VC30,Triokinase/FMN cyclase;Tkfc;ortholog,TRIOKINASE/FMN CYCLASE (PTHR28629:SF4),cyclase(PC00079),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1095401|UniProtKB=P52760,P52760,2-iminobutanoate/2-iminopropanoate deaminase;Rida;ortholog,2-IMINOBUTANOATE/2-IMINOPROPANOATE DEAMINASE (PTHR11803:SF53),deaminase(PC00088),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1914195|UniProtKB=Q8K2B3,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;Sdha;ortholog","SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL (PTHR11632:SF51)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=98266|UniProtKB=Q64442,Q64442,Sorbitol dehydrogenase;Sord;ortholog,SORBITOL DEHYDROGENASE (PTHR43161:SF9),dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87880|UniProtKB=Q99KI0,Q99KI0,"Aconitate hydratase, mitochondrial;Aco2;ortholog","ACONITATE HYDRATASE, MITOCHONDRIAL (PTHR43160:SF3)",hydratase(PC00120),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=96413|UniProtKB=O88844,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic;Idh1;ortholog,"ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1929955|UniProtKB=Q9JII6,Q9JII6,Aldo-keto reductase family 1 member A1;Akr1a1;ortholog,ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1 (PTHR11732:SF421),reductase(PC00198),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95492|UniProtKB=Q9QXD6,Q9QXD6,"Fructose-1,6-bisphosphatase 1;Fbp1;ortholog","FRUCTOSE-1,6-BISPHOSPHATASE 1 (PTHR11556:SF11)",carbohydrate phosphatase(PC00066),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1095417|UniProtKB=P13745,P13745,Glutathione S-transferase A1;Gsta1;ortholog,GLUTATHIONE S-TRANSFERASE-RELATED (PTHR11571:SF233),transferase(PC00220),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87867|UniProtKB=P45952,P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Acadm;ortholog","MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR48083:SF2)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1340024|UniProtKB=Q8R0Y6,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase;Aldh1l1;ortholog,CYTOSOLIC 10-FORMYLTETRAHYDROFOLATE DEHYDROGENASE (PTHR11699:SF120),dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1098623|UniProtKB=Q8BWT1,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial;Acaa2;ortholog","3-KETOACYL-COA THIOLASE, MITOCHONDRIAL (PTHR18919:SF107)",acyltransferase(PC00042),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88527|UniProtKB=P47199,P47199,Quinone oxidoreductase;Cryz;ortholog,QUINONE OXIDOREDUCTASE (PTHR44154:SF1),oxidoreductase(PC00176),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1306824|UniProtKB=Q9Z2I8,Q9Z2I8,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial;Suclg2;ortholog","SUCCINATE--COA LIGASE [GDP-FORMING] SUBUNIT BETA, MITOCHONDRIAL (PTHR11815:SF10)",ligase(PC00142),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=106098|UniProtKB=Q9DCW4,Q9DCW4,Electron transfer flavoprotein subunit beta;Etfb;ortholog,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA (PTHR21294:SF8),oxidoreductase(PC00176),Mus musculus
